,Headlines,Date,Sentiment
0,Central Bank of India says not yet decided on branch closures. ,2022-05-08,[[9.9999619e-01 3.1375308e-08 3.8568969e-06]]
1,Indian Bank unveils digital broking solution. ,2022-05-07,[[9.98857975e-01 1.02396403e-03 1.18112046e-04]]
2,"PM Modi likely to launch 75 digital banks on August 15. IDBI Trust invokes pledged investments in Future Group companies. Banks follow RBI footsteps, start a rate hiking trail. RBI okays merger between Equitas Holding and Equitas Bank. Lenders to get 10-15 bps margin gains from rate hike: Report. PNB hikes lending rate by 40 bps. ",2022-05-06,[[9.292645e-01 7.071376e-02 2.170059e-05]]
3,"ASBA-designated bank branches to remain open on Sunday for LIC IPO: Reserve Bank. Central Bank of India to close 13% of its branches. HDFC Bank opens over 1,000 branches during pandemic. RBI's rate hikes to weigh down on banking system credit growth: India Ratings. Bank loans pick up at almost double the pace as last year. ",2022-05-05,[[0.06370863 0.93186027 0.00443116]]
4,"RBI rate hike shocker: Home and car loans to get dearer. RBI taking inflation, inflationary expectations seriously: Uday Kotak. RBI CRR hikes to increase overnight rates. ",2022-05-04,[[0.9820717  0.00151098 0.01641739]]
5,State-run banks voice concern over new guidelines on frauds. ,2022-05-03,[[3.8965150e-06 7.2365566e-07 9.9999535e-01]]
6,Kotak Mahindra bank backed Phoenix ARC set to acquire Bank of India's VVF (India) loan. This Singapore firm helps banks open branches in remote locations for just $150. Benefit of Early Investing. Fino Payments Bank holdco says changes in board composition due to policy decision. RRA recommends withdrawal of 225 more circulars: RBI. Primex Finance: Dismantling trading barriers with blockchain. ,2022-05-02,[[9.9986565e-01 5.3916792e-05 8.0445869e-05]]
7,Resolution primary objective of IBC; but need to be mindful of recovery too: SBI MD Swaminathan J. HDFC raises home loan rate by 5 basis points for existing customers. ,2022-05-01,[[9.8336422e-01 1.6312310e-02 3.2353352e-04]]
8,"Aditya Birla ARC, Arcil among companies eyeing SBI's KSK Mahanadi loan. A few old private sector banks may look like convenient acquisition targets. But that may not be easy. ",2022-04-30,[[9.993374e-01 4.753377e-05 6.151201e-04]]
9,"Merger with private bank, NBFC proposed at IDBI Bank roadshows. Two government nominee directors join board of IDBI Bank. Bank credit likely to grow at 4-year high of 11-12% in FY23: Report. Vishu Ramachandran to Join as Chairman of GoPik Connect. Non-food bank credit grew 9.7% in March: RBI data. ",2022-04-29,[[7.5679296e-03 9.9242711e-01 4.9208434e-06]]
10,"HDFC Bank plans car loan disbursal in 30 minutes in online push. Things to know before investing in Short-Term Income Funds.. Indian Bank unveils pre-approved personal loan under Project WAVE. RBI modifies norms for banks on short term crop loan scheme. Yes Bank scam: CBI arrests Radius Group MD, Sanjay Chhabria. ",2022-04-28,[[9.9999797e-01 2.8079739e-07 1.7340299e-06]]
11,"Guarantees, LoCs to group companies will now have taut strings. Cabinet approves Rs 820 cr financial support for India Post Payments Bank. Jeevandas Narayan & Kalmanje Gururaj Acharya appointed to Karnataka Bank board. YES Bank approaches NCLT to admit Zee Learn under the insolvency resolution process. Assam Gramin Vikash Bank posting net profit after a gap of 5 years. ",2022-04-27,[[9.9972862e-01 9.6098949e-05 1.7535024e-04]]
12,Auto-debit bounce rates for loan EMIs inch up in March. Union Bank rolls out automated solution to monitor stressed loans. Investment advice for millennials. NBFC 'third party lending' set to come under auditors' scrutiny. ,2022-04-26,[[1.1299347e-02 6.2120616e-06 9.8869449e-01]]
13,"Airtel Payments Bank revenue seen rising to Rs 7,650 cr by 2030. Banks seek formal NPCI note on crypto UPI curbs. Delhi HC stays Punjab & Sind Bank from taking further action on Srei. New CEO Vishakha Mulye will have to rebalance ABCL portfolio to extract synergies. RBI imposes Rs 1.12 crore penalty on Bank of Maharashtra. Yes Bank files plea for insolvency proceedings against Zee Learn. Credit push: State-run banks told to collaborate with startups, fintech cos. ",2022-04-25,[[9.9899644e-01 1.2683165e-05 9.9088508e-04]]
14,Six working groups set up to suggest ways to improve functioning of PSBs to submit report by Dec. ,2022-04-24,[[9.4335967e-01 5.6616437e-02 2.3809231e-05]]
15,"Banks putting more of surplus funds in commercial papers as rates rise. Axis Bank turns down plan to distribute Sintex sale proceeds. Yes Bank-DHFL case: Rana Kapoor, Kapil and Dheeraj Wadhawans laundered money worth Rs 5,050 crore, says ED. ICICI Bank's Vishakha Mulye to join Aditya Birla Capital as CEO. ",2022-04-23,[[9.9993479e-01 1.1516374e-05 5.3602587e-05]]
